"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,0.00102449683407388,0.00650892098165943,0.00163023963662134,1.82923818915656e-05,0.00363945447996838,0.00059800719584704,0.00061610363398511,0.000188302293901096
"2",0.25,0.0041565008895531,0.00829871802257075,0.00330039405650206,0.00324250972982147,0.00412728530261345,0.000376281540553241,0.000192588466694646,1.98281910094879e-06
"3",0.5,0.00227432857406854,0.00751089358509768,0.000652936049511791,5.79498584002389e-05,0.00269714144310404,0.000126420608950391,0.00121169169549632,0.000607324694242429
"4",1,0.00385347419762917,0.00157596555211072,0.00421828514516436,0.00132605531994933,0.000463074010158435,0.00187590996142741,7.58843672679565e-05,0.000246056193172088
"5",1.5,0.00196704619473803,0.00600557340743945,0.00650994316025428,0.000104840492599437,0.00471011101792298,0.00157967330927164,0.000206587577638405,0.000109185530936238
"6",3,0.0056806818191472,0.0125931510321704,0.0102490759424712,0.00379695750700978,0.00093339900762265,0.000281821394874398,0.00093738441125265,2.72522329458505e-05
"7",4.5,0.0250085993932841,0.0042776008882973,0.0152823213560231,0.00116138490199208,0.00289507260253113,0.000594695768164376,0.000286491816128939,0.00038339277176118
"8",6,0.00343621164910812,0.00789646818811205,0.0083442597785429,0.000944708674039427,0.00526600519363716,0.00125731077257839,0.000326270902908541,0.000587929541806028
"9",7.5,0.0040047903482166,0.000116967882309662,0.000713911920750313,0.00153059370728688,0.00468229188400487,0.00113927628783348,9.57554815870899e-05,8.50789996877918e-05
"10",9,0.000214099240471077,0.00261306487989638,0.000914064453421469,0.000517334082103234,0.000265394550092014,9.92277003144308e-05,0.000831768461895699,3.87644093558414e-05
"11",10.5,0.00648306317221289,0.0155817720243773,0.00133575191582612,0.0012093760441145,0.00125236785911666,9.5513837652321e-05,0.00117522185250436,0.000401743709046298
"12",12,0.000122915127154914,0.00140751026480274,0.00109916032214099,0.000685152968673161,0.00146043970691922,0.000917737500914365,0.000366047708028998,7.0037328938968e-05
"13",18,0.00993401997612651,0.00248715774085826,0.0185743187947493,0.000285332628677723,0.00250559715401084,0.000218881332298501,0.000185223193520894,0.000574718072060577
"14",24,0.00299591467791137,0.000960052550681083,0.00724300509328354,0.00128660089833325,0.00122699186403257,0.000426759920426894,0.000143208052912232,6.46542018771249e-05
"15",36,0.0172026770505147,0.00329343921259694,0.00400127044278744,0.000106835690921906,0.00103889958715833,0.000567986084840544,4.44877067199903e-05,9.53416760828354e-05
"16",48,0.0119662164772492,0.00355860976347243,0.00257212467276297,0.00261379775241787,0.0016983863730914,0.00325165445384966,0.000643665000334167,9.52191712649186e-05
"17",100,0.00312969396336361,9.65905497033631e-05,0.0050935772142389,0.00160287083223034,0.0003095741732529,0.00319736055405653,8.98229008552473e-05,8.90485368992024e-05
