Specie,Value
IR,9.9498
IRS,9.8672
IRSiP,0.13284
IRi,0.032893
IRiP,1.11E-05
IRins,0.017326
IRp,1.76E-09
XX,9.9998
XXp,0.00015773
insulin,0
