"","x"
"k1",0.000178853654574223
"k2",0.303060618079044
"k3",4.19844313177472e-05
"k4",0.000171537150313595
"k13",5.5869386474187e-05
"k14",1.7969636044136
"k15",1.87203495726322
"k16",0.00802567503654457
"k17",2.47863858321348
"k18",0.539295372893532
"k19",2.10314384528511
"k20",3.76062845812422
"k21",0.644069020150812
"k22",3.17571709991378
"k23",2.76333124896613
"k24",0.00185878604805619
"k26",0.392170193282161
"k28",0.00552142591936086
"k29",6.23656938786426e-05
"k32",2.37260355343885
"k33",1.14721737919346
"k36",0.0263815489935475
"k38",0.00037936473222509
"k40",3.22143899822554
"k42",0.000387194561391119
