"","V1"
"k1",0.113129947274806
"k2",25.1760304442803
"k3",3.28896326794713
"k4",3.61164756431398
"k13",0.273669377636216
"k14",8.28188337751702
"k15",3.25245946382398
"k16",0.233449512636525
"k17",0.619117939468706
"k18",1.08261837038505
"k19",10.2593315989027
"k20",18.8690812005446
"k21",3.77104845076564
"k22",79.7062657501595
"k23",23.5803477210654
"k24",0.118191624668874
"k26",0.44506495403524
"k28",7.83010921947215
"k29",7.62710964613369
"k32",3.37708064104141
"k33",2.8382025286146
"k36",2.2379459980157
"k38",9.57588531509773
"k40",160.426289978645
"k42",0.014034497297415
