"","x"
"CD274mRNA_production",0.993196509134449
"DecoyR_binding",0.993810658747862
"JAK2_p_inhibition",0.99529396847408
"JAK2_phosphorylation",0.99613246630586
"Kon_IL13Rec",0.998577445992325
"Rec_intern",0.861132399103984
"Rec_phosphorylation",1.00069472167452
"Rec_recycle",1.05773574863146
"SOCS3_accumulation",1.00279065161592
"SOCS3_degradation",1.0049262085149
"SOCS3_translation",1.00742993374515
"SOCS3mRNA_production",1.00765543021387
"STAT5_phosphorylation",1.01863473184732
"pJAK2_dephosphorylation",1.00468914042159
"pRec_degradation",1.00932299677761
"pRec_intern",1.01341193510284
"pSTAT5_dephosphorylation",1.02457808298193
"Rec_i",1.05862132030967
"scale_CD274mRNA_obs",1.02094559914971
"scale_IL13_cell_obs",1.02218730322978
"scale_SOCS3mRNA_obs",1.02376397754591
"scale_pIL4Ra_obs",1.02857634247612
"scale_pJAK2_obs",1.03031138459546
