	"parameter"
"k1"	"0.0122149"
"k2"	"3.15714"
"k3"	"0.408408"
"k4"	"0.408408"
"k13"	"0.0248773"
"k14"	"1.19995"
"k15"	"0.368384"
"k16"	"0.10271"
"k17"	"15.5956"
"k18"	"0.144515"
"k19"	"0.374228"
"k20"	"3.11919"
"k21"	"0.687193"
"k22"	"215.158"
"k23"	"667.957"
"k24"	"0.130937"
"k26"	"0.0732724"
"k28"	"2.4927"
"k29"	"2.44361"
"k32"	"59.5251"
"k33"	"53.0816"
"k36"	"39.0886"
"k38"	"3.00453"
"k40"	"5122.68"
"k42"	"0.124944"
