"","V1"
"k1",0.0922705945296955
"k2",9.46680314773783
"k3",3.43923171706716
"k4",3.71270618141947
"k13",0.546311840647342
"k14",2.80241054314937
"k15",2.07496726568612
"k16",0.275853294925519
"k17",0.0802352443005165
"k18",0.255800560846386
"k19",0.427092589252772
"k20",17.9847020802184
"k21",3.17394041206113
"k22",1.1997749055651
"k23",1.54446514436569
"k24",0.0258015564067152
"k26",0.441790314959243
"k28",0.930809529249975
"k29",0.803341680179906
"k32",0.243905190914842
"k33",0.00222838939291202
"k36",0.00515623369700142
"k38",1.07501489450811
"k40",0.0354658573843872
"k42",0.0114224565350472
