"","x"
"k1",2.9046461300203e-05
"k2",0.235335444829727
"k3",0.00547540999211039
"k4",0.00562999444142547
"k13",0.0136576589449897
"k14",1.50165189109033
"k15",0.00049348927110152
"k16",0.00929907269952082
"k17",4.12237734765602
"k18",1.39898455509865
"k19",6.20711668461336
"k20",7.85968964654205
"k21",1.28480709274797
"k22",7.17804473114215
"k23",7.15021165740829
"k24",0.0197507835285693
"k26",0.737418415015449
"k28",0.0255771270629143
"k29",0.0236915140672475
"k32",5.59670054012962
"k33",3.19696724740125
"k36",2.8700186124446
"k38",5.87718972676275e-07
"k40",6.38361621830861
"k42",0.0175680350914966
