"","time","JAK2","pJAK2","Epo","EpoR","pEpoR","SHP1","mSHP1","Delay01_mSHP1","Delay02_mSHP1","Delay03_mSHP1","Delay04_mSHP1","Delay05_mSHP1","Delay06_mSHP1","Delay07_mSHP1","Delay08_mSHP1","actSHP1","SOS","mSOS","Raf","pRaf","MEK2","pMEK2","MEK1","pMEK1","ppMEK2","ppMEK1","ERK1","pERK1","ERK2","pERK2","ppERK1","ppERK2","pSOS"
"1",0,0.0460173358942527,0.0342241686255123,0,0.00741906964194703,0.00368071953877131,10.3062854915201,0.0921041340338851,0.238431224914911,0.018544508944395,0.15675429555286,0.0364932121279333,0.0137486728982623,0.00960875903442761,0.00420799423298946,0.0186113747457244,0.342080390616141,0.00772211680547222,3.47405289064748e-06,5.01161176487876e-07,5.71824406375114e-07,0.0060587192137992,0.000874592862090588,0.000377727472581805,4.89724649398541e-05,0.0004812560097993,0.000394174472109438,0.0348723530261017,0.122709517059062,2.25195767992185,0.152955538941101,0.00613887829377757,0.011598403227514,0.0145888524153796
"2",0.25,0.00960964219254368,0.00024954345723632,0,0.0402672254364395,0.0545393618793562,0.00906400608609196,0.0158138981879786,0.102441531180471,0.113416380903934,0.110364215452499,0.0132384365497398,0.0718184344563453,0.171763073173837,0.000961824775804324,0.00168890119541756,0.233433549929008,0.00680887576727158,3.58599918295702e-07,5.00185432183673e-08,2.6086078914678e-07,0.00137480405628658,0.00139322936922974,0.000289543030000631,0.000241002459310844,0.000155457836897111,8.1517133459248e-05,0.114616525593929,0.0451781852381995,0.857305259790391,0.0635162266996446,0.00300536921984858,0.00207176962405206,0.00538752601527258
"3",0.5,0.033354723592276,0.0445820812863619,0,0.0100851253874385,0.0024735267781182,0.381534915273996,0.287188865288327,0.165897725170276,0.0820314607045583,0.128081397120039,0.0580191325628811,0.0179106096565278,0.0986495378844758,0.0200886391189979,0.00572832730125104,0.238495387142359,0.00116885905048246,1.80584232748461e-07,7.27741844725198e-07,9.09462490762775e-08,0.000336915976823982,0.000483522026964567,0.000638593425397841,9.94257708996071e-05,0.00140710876311648,0.000214285116634636,0.00057675125907489,0.000412155202639899,0.0967473293470633,0.172471369952563,0.0224605469250169,0.000577508311241228,0.016347615988244
"4",1,0.188839507097485,0.0870005064387375,0,0.0402265493068945,0.00863203243080014,0.0983493953806334,0.0942669018770766,0.217135251729021,0.0720421676458563,0.00122902616485286,0.00116289557983444,0.0263975690053364,0.0671334679668788,0.0130776272250158,0.0144346959579956,0.0743245421089682,0.0149701049238495,3.46152962798617e-07,1.35727933398631e-07,1.43061074565351e-07,0.000653152949482248,0.000345199381954312,0.00013880490683478,1.79618486062849e-05,0.0038599262317135,6.14280887161091e-05,0.0203349843460303,0.0100762281060103,0.0424548665418172,0.405167977115693,0.0137200943186422,0.00927006565355272,0.0997140633061693
"5",1.5,0.057404748239856,0.0261327832528301,0,0.0462758053555925,0.00547083230271606,0.827687027783725,0.180594860734517,0.108129418625964,0.0670771939890427,0.0137151460183616,0.0127159943422681,0.0172110970033929,0.0488519242986207,0.00691479985829017,0.0255576977238879,0.726593456223963,0.0190273775617417,1.04714431810372e-05,8.15055567717705e-08,7.13099591209593e-08,1.84387969236292e-05,0.000114503300286184,0.000703673650824738,2.71264675469842e-05,0.000236995761383264,0.00114327550585902,0.0876835218694772,0.00169734917057855,0.146510047394522,0.228331316478464,0.0110895776532194,0.121187079599526,0.0280540436945908
"6",3,0.0102364832885521,0.00848580485017935,0,0.00178827219804898,0.00523219472242842,0.465775263147306,0.39057982251517,0.0365656114253616,0.133555431223357,0.00913820433407441,0.0294000417318476,0.0125383826093354,0.0895235006807544,0.00740328819596731,0.00602669298669751,0.727441025553915,0.00189244307753435,4.95744566161109e-07,1.0752541606227e-07,3.18547580764099e-07,0.00293310686017487,3.65739413960165e-05,4.20433890009798e-05,6.31573433245521e-06,8.53272079397646e-05,0.000199875908860147,0.0195158328535644,0.00311369979892717,0.468441086948525,0.258897916574381,0.0145522867322877,0.0280200217717893,0.00470943571605418
"7",4.5,0.00329697781627249,0.0386126951641692,0,0.00222147657776357,0.0411685280159591,2.66967474231629,0.15209814772706,0.181000726509643,0.134967075010383,0.105821695157569,0.0162712131606341,0.0274670892927864,0.0205831021273934,0.000290380709451618,0.0471853007187591,0.156184687430451,0.0182319565916781,7.91085411538423e-07,2.08275610916153e-07,1.09414440277697e-06,0.000820554961151514,0.000292383015841558,0.00156985268310045,0.000439718264824984,0.000282686850686219,0.000216975096972099,0.0188337410330555,0.0228860645172032,0.0428746381194638,0.41805447511678,0.00241004160264908,0.0328873472731544,0.000260987132128848
"8",6,0.00014402397248309,0.02132266223356,0,0.0249974313646054,0.036844189416612,0.830045640204416,0.294355795456915,0.0443842474695693,0.0127745825921832,0.00993796358965913,0.0335395704153996,0.00213430060397446,0.0815777287810894,0.192716627809662,0.0268599648526348,0.526329201282836,0.0131358422687757,9.97230099073296e-07,1.60969436934758e-07,4.64723031979602e-07,0.000620809524343606,0.00119423805546128,0.000256377353627376,5.88826816151866e-05,0.000409152902759677,0.000235789788109901,0.0695715454912681,0.050501431868034,0.0282372258161854,1.10716608776673,0.00604662680151263,0.00142421982635153,0.0262027218788115
"9",7.5,0.00243989179409776,0.0174306613595636,0,0.0108993799048428,0.00708683074736317,0.859964827447475,0.236255357772643,0.230855113794529,0.296195860223763,0.0698954830763081,0.0908790348381514,0.0102994322916879,0.0203570448293487,0.00871547049094975,0.00294540262404256,0.403702248549074,0.00962531474914833,9.95149603642583e-06,2.14596840487603e-07,8.60605711135116e-07,0.000676792546159479,0.000266614508015077,0.000641284650235529,9.24096345310484e-05,0.00094498541070394,0.000256377684783013,0.194043101699442,0.0167560210439371,0.538319699419139,0.442591693730435,0.00925796566330843,0.0483630106723962,0.0568432553351548
"10",9,0.0246086244418841,0.00429129888640494,0,0.00431727349432545,0.00800811919386429,4.36954027110577,0.0442761404607253,0.233202527865681,0.0490399833861712,0.0286893386220584,0.0047991694286225,0.00481952827115742,0.014988017241807,0.0147090754068456,0.0243813725256697,0.708719503433561,0.00339044874067881,4.52989354471156e-07,3.80597495006025e-07,3.49108131684991e-07,0.00784475497047435,0.00163595888746421,0.000977149856201168,0.000125978865608118,0.000304698071842303,0.000391140885642225,0.057319347559682,0.00200371352855219,1.03050720542449,0.00885202829823148,1.37674556038665e-05,0.0175437186438777,0.0166432852615294
