"time"	"MKKK"	"MKKK_P"	"MKK"	"MKK_P"	"MKK_PP"	"MAPK"	"MAPK_P"	"MAPK_PP"
0	-3.82370010412103	455.169659222422	-217.341427957876	58.718309934445	410.190632389365	42.1017905647432	58.7410623485809	10.8541622460514
0.25	37.549246252496	-156.95013089633	30.899357699127	-81.6007038187223	-22.0295140504785	-13.1300986493557	-41.8370429809478	-8.21186604341584
0.5	-4.28278932223236	-31.4996026510794	34.5002552376172	-9.1183232141745	-13.8254001043094	-4.81877309846368	-6.52404775689419	-1.78257286699512
1	-12.8017593925875	0.440756662055009	21.5253701956044	5.52741136748125	-10.0183090773704	-1.90621343614339	1.41932103363196	-0.718953798003241
1.5	-13.4958453807457	6.75499962102855	1.02297272070473	8.37726302265196	-7.16735556765968	-0.164555130197641	5.79105774092525	-0.0661906321486327
3	-12.6657952975506	10.2868279113739	-4.36885171285439	6.01594886082424	-4.47428357876234	-0.386965979998877	4.07369495456145	-0.557673270391135
4.5	-8.14375346308793	7.12074905653637	-5.77217205614033	1.75393025943649	-4.80948007914783	-0.0810885484838764	1.0063207923352	-1.21434179324886
6	-8.04419783582944	8.09120575882005	-4.49642944141715	1.18471474408999	-3.67470865097275	0.0146897746162722	0.513911292728153	-1.19999536444126
7.5	-8.31985621802289	11.662300990416	2.7966396456236	1.53055452133977	-3.32625828964517	-1.02964522062621	1.03355831617513	-0.916481627532661
9	-8.96374959448565	11.9344742320173	1.197799894328	2.10082517616073	-1.95280343986948	-0.940010165891181	0.989375962136663	-0.835375686309092
10.5	-9.68926368113898	12.0786826128843	-1.03938790567781	3.06418985917922	-0.616244313406789	-0.869561163995058	1.05310646474344	-0.805009507146792
12	-9.36150665418722	11.7434024656724	-1.20484188931869	3.44410550394159	0.424876469777402	-0.88899182270552	1.08070660726511	-0.635179156221355
18	-9.93960463893018	9.66470019010046	-5.97194400006629	3.28135423961129	2.2358057059062	0.429770790219663	0.61183372255158	-0.603045313734896
24	-9.06229819035786	8.83037153503352	-8.79134027360351	3.98529087693689	5.07021854863154	-1.61185485347914	1.28965887020094	0.640316794808804
36	-7.93788531549922	8.0944658931017	-10.6964615521292	4.54301687032554	7.31651002424805	-3.69352864561279	1.95916462604018	1.78853773988052
48	-5.94665358074309	6.07229634913153	-9.36853507934643	3.79899507020198	6.68083008721609	-3.56635774090819	1.75759996482228	1.81120395444623
