"","x"
"k1",2.83102145656587e-07
"k2",2.25316887658992
"k3",4.20686745502254e-05
"k4",3.64937712560194e-05
"k13",6.26388047821876e-05
"k14",3.56954292266629
"k15",0.00809645106701189
"k16",0.000214398060743433
"k17",2.66378142935666
"k18",2.63797129673414
"k19",2.68580812384304
"k20",10.3003111912056
"k21",2.28842003737699
"k22",5.05690096669138
"k23",2.52690392950937
"k24",0.0667540711340069
"k26",0.455386259416286
"k28",0.000134037267600801
"k29",1.54250283003933e-05
"k32",1.17952838454491
"k33",0.0821155091228352
"k36",0.000127462955349562
"k38",6.03559402007078e-06
"k40",2.4534708330922
"k42",0.000575383110080016
