"","V1"
"k1",0.10880832536284
"k2",18.0748700187125
"k3",3.40727624311511
"k4",3.8331594077196
"k13",0.439651681225817
"k14",5.14367267492525
"k15",2.19513583843571
"k16",0.258152537954074
"k17",1.11368903711303
"k18",2.82197326051694
"k19",17.01406180825
"k20",20.21684366871
"k21",3.83073138727746
"k22",23.1263216172122
"k23",20.5789828792593
"k24",0.330583465391187
"k26",0.673483912808522
"k28",7.11251586010419
"k29",6.83900471688225
"k32",13.5865140024341
"k33",12.7650989267849
"k36",9.27876455560508
"k38",8.83760506776841
"k40",3.56498406292615
"k42",0.00941047734724744
