0,6,5
1,7.4298,4.8429
2,8.9963,5.4772
3,9.7595,7.039
4,8.8216,8.9584
5,6.864,9.76
6,5.3677,8.8779
7,4.8187,7.2787
8,5.0432,5.883
9,5.9138,5.0282
10,7.32,4.823
11,8.9086,5.3957
12,9.7675,6.9027
13,8.9439,8.8528
14,7.0056,9.7675
15,5.449,8.9847
16,4.8298,7.4018
17,5.0006,5.9716
18,5.8256,5.0721
19,7.1978,4.8119
20,8.7992,5.3173
21,9.7562,6.7567
22,9.0581,8.7303
23,7.1649,9.7538
24,5.5499,9.0884
25,4.8561,7.5356
26,4.9672,6.0771
27,5.7395,5.131
28,7.0682,4.8141
29,8.6671,5.2506
30,9.7187,6.606
31,9.1639,8.5797
32,7.3204,9.7208
33,5.6534,9.1773
34,4.8919,7.6613
35,4.945,6.1833
36,5.6654,5.1931
37,6.9496,4.8263
38,8.536,5.199
39,9.6682,6.4695
40,9.2569,8.4194
41,7.456,9.6841
42,5.7445,9.2502
43,4.9264,7.7684
44,4.9293,6.2757
45,5.6047,5.2487
46,6.851,4.84
47,8.4254,5.1573
48,9.6188,6.3581
49,9.3297,8.2805
50,7.5805,9.6429
51,5.8289,9.3124
52,4.9606,7.8634
53,4.9179,6.3593
54,5.553,5.3011
55,6.7652,4.8553
56,8.326,5.1234
57,9.567,6.2649
58,9.387,8.1573
59,7.6972,9.5952
60,5.9094,9.3663
61,4.9953,7.9481
62,4.9109,6.4362
63,5.5091,5.3519
64,6.6896,4.8727
65,8.2357,5.0964
66,9.5101,6.1872
67,9.4326,8.0422
68,7.8069,9.54
69,5.9891,9.4123
70,5.0261,8.0291
71,4.9102,6.5071
72,5.4747,5.4025
73,6.6245,4.8923
74,8.1545,5.0775
75,9.4496,6.1224
76,9.4636,7.9387
77,7.9073,9.4757
78,6.071,9.4498
79,5.0499,8.1157
80,4.8981,6.5784
81,5.4304,5.4468
82,6.552,4.9013
83,8.0741,5.0477
84,9.4048,6.046
85,9.5018,7.8454
86,8.0184,9.4205
87,6.1729,9.4906
88,5.0903,8.2146
89,4.8809,6.6702
90,5.3715,5.5014
