"","x"
"k1",1.14975421352941e-07
"k2",1.07455203964662e-05
"k3",0.000112887853647651
"k4",0.000107677324392202
"k13",1.70760832209622e-05
"k14",1.74680723563116
"k15",1.6400139132114
"k16",9.95749474647473e-05
"k17",1.87395802311225
"k18",1.50056327575883
"k19",1.52786594502409
"k20",1.71143630472081
"k21",1.869799150996
"k22",1.71978315078023
"k23",1.47874411102035
"k24",1.27802424128567
"k26",0.262492533680912
"k28",0.0904110906635641
"k29",1.67590513944063
"k32",1.60401602351363
"k33",1.88758134636056
"k36",0.00255065874857995
"k38",1.14270258357726
"k40",1.55841122012817
"k42",0.290179952014583
