"","V1"
"k1",0.114497523222788
"k2",30.4486866817953
"k3",3.42626604608569
"k4",3.69926296912141
"k13",0.278333602197627
"k14",11.3193603018933
"k15",3.335475939342
"k16",0.252594212046101
"k17",1.05211725629652
"k18",3.14801344078634
"k19",26.9900600524206
"k20",20.7495740491748
"k21",3.91060391159481
"k22",178.995563227006
"k23",57.4128641716519
"k24",0.22146177147395
"k26",0.657951598755374
"k28",12.217972975474
"k29",11.95079415631
"k32",10.6824469767482
"k33",9.57129087760395
"k36",7.02968699420056
"k38",14.8840293824033
"k40",121.762838112845
"k42",0.0305264117263909
