"","V1"
"V1",451.34085377083
"n",39.2845032313655
"Ki",15.1238284511449
"K1",104.232192893791
"V2",220.505273658513
"K2",12.5748701001276
"k3",0.27763247249607
"K3",0.0980236802659313
"k4",1.26713224025118
"K4",4.48937846085883
"V5",0.147491186294494
"K5",9.98568551647102
"V6",0.376937679659807
"K6",2.53127583524819
"k7",0.425684898477869
"K7",0.0798992279361175
"k8",2.03048723148648
"K8",3.296918957373
"V9",15.2755990570752
"K9",0.101049983138815
"V10",0.0598540723018485
"K10",7286.39018631945
