"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,97.1484553210474,15.0566687161796,291.877569734472,10.7198353450254,12.4003263802513,283.740133328794,6.51358917113307,7.7014125094852
"2",0.25,85.9898217871691,7.1120630763048,276.750065603736,1.94816306952244,3.41838948537982,280.048055424155,11.6003697128265,11.5058669622485
"3",0.5,99.071105185052,10.4514297472601,271.369170809218,14.9726728643897,11.4834439823273,283.05933518023,9.95464542743573,11.5764263063453
"4",1,95.4814003890274,-5.78398346287698,267.774692125306,8.70068002879262,4.2520568820637,275.073775242148,7.99691400550284,11.0941626989907
"5",1.5,100.029776293083,4.36950348274478,277.462882835456,6.38839878114144,5.84455939372677,277.874441884227,9.92035290759182,11.2251273292093
"6",3,72.1400851910644,10.7057318707982,299.553784110956,1.80017341198362,15.3247947113429,285.050278151592,6.61830219270454,11.4462400087691
"7",4.5,90.5620821945074,2.07698641472928,256.997002444388,9.40245469723395,6.55585126337478,274.994723441294,16.0527010925972,10.3996296517448
"8",6,79.1488517503679,19.3748559502835,276.890461583031,5.42991530371182,10.5212863001116,274.315029482977,7.52449070773514,10.4449853450383
"9",7.5,84.6976848891491,24.2615532707361,284.798492041488,8.5996825715648,10.0935613348565,286.587770437755,11.7269803848432,6.59421912743738
"10",9,68.7964512281353,13.4846916791369,268.796548519967,11.9326226788402,9.52313370745098,275.391911680945,12.5980957485012,10.2929006089062
"11",10.5,68.3085924950335,9.71168964356643,283.739284658514,9.91155713641331,8.4226890863301,284.404423193766,12.0633880129189,5.80361453404392
"12",12,62.3011764555782,6.69161509464938,276.135730424426,12.1144268036699,12.4298967383179,283.863768123399,6.5218667922444,6.58650440398868
"13",18,70.7910937206384,12.7986396529184,254.457289817113,14.5157432494654,7.83400763407688,276.712281542806,13.7083972706718,6.15129777566182
"14",24,70.1655495184496,27.0274674592419,268.759393727852,20.1876537869161,21.2404302371952,281.452117503626,9.58846296081535,9.71303257850056
"15",36,43.3795063582942,43.1026520545005,277.421242925438,28.8318480225115,12.0238354079769,274.432575234112,14.4958958261988,8.44420489961278
"16",48,46.5842657276946,56.3807990980337,250.354062044382,22.253802852838,25.6476151985511,285.716854150679,17.513461005505,5.74837196707394
"17",100,26.4767764301885,106.345252879127,203.314086222407,42.4407057833889,56.3783404928185,247.631577749662,27.9477018530201,23.0049188378519
