"","x"
"V1",1.44863876265847
"n",0.984711302484117
"Ki",1.49811267440866
"K1",1.9183183440376
"V2",0.259650298545965
"K2",1.49417707317482
"k3",0.0904922211164403
"K3",0.894125731813141
"k4",0.108687119926911
"K4",1.20130759509093
"V5",1.65335892003427
"K5",1.53204506470259
"V6",1.47996474839414
"K6",0.959889798924594
"k7",0.0152894627275106
"K7",1.1470252908779
"k8",0.138692427564755
"K8",1.09262231644401
"V9",1.70090003182527
"K9",1.19300526000398
"V10",0.23387350853664
"K10",1.55398561685984
