"","V1"
"k1",0.0736304735487451
"k2",6.12421208342748
"k3",2.63007676964233
"k4",3.33183207469995
"k13",0.730507287314776
"k14",0.662878092600251
"k15",0.23783995826722
"k16",0.208814864884028
"k17",0.0700779229362138
"k18",0.404044613490717
"k19",0.911949761402442
"k20",18.853809776018
"k21",3.26897348604533
"k22",1.09337622894853
"k23",4.40432861444193
"k24",0.0998378030075094
"k26",0.575226095563557
"k28",0.484951589155107
"k29",0.383244161827386
"k32",0.0415607534293856
"k33",0.223918814409313
"k36",0.00409622187574921
"k38",0.419507607121839
"k40",0.578901113124634
"k42",0.00586837532350184
