"","time","JAK2","pJAK2","Epo","EpoR","pEpoR","SHP1","mSHP1","Delay01_mSHP1","Delay02_mSHP1","Delay03_mSHP1","Delay04_mSHP1","Delay05_mSHP1","Delay06_mSHP1","Delay07_mSHP1","Delay08_mSHP1","actSHP1","SOS","mSOS","Raf","pRaf","MEK2","pMEK2","MEK1","pMEK1","ppMEK2","ppMEK1","ERK1","pERK1","ERK2","pERK2","ppERK1","ppERK2","pSOS"
"1",0,0.162438874321954,0.0174794857721576,0,0.0262960052182701,0.0879486672796774,4.98017883334685,0.763955975739239,0.640314889192037,0.130138612330066,0.0296846065214108,0.0727285167004788,0.0576279701091368,0.256021414820944,0.0442878453299907,0.344775285414123,15.8138251426603,0.0504745692461031,6.19162935365174e-06,3.07201444136223e-07,8.3997353942847e-08,0.00394141730704249,5.45322296016383e-06,0.000377039099374433,8.47188569438198e-05,0.00119204426919413,0.00111756911138554,0.388164008554395,0.0226128714542764,3.54720999831069,0.850262758653233,0.0586621106159981,0.00960500429111923,0.128414487427194
"2",0.25,0.0308730493662838,0.241623204728508,0,0.00071396403254688,0.0322004551552631,4.12372582724979,0.00467820299734438,0.337859416558604,0.23313923162049,0.233350285869372,0.580187194809143,0.00666218468950039,0.121079276490338,0.0490836203919712,0.156137584898432,2.17937509339658,0.0964355157969389,9.94827142872254e-08,6.01232231627205e-07,2.87940490103091e-07,0.00191482567220483,0.000571025240217985,0.000821173093324107,0.000109581857715765,0.00182973221562287,6.50760176130026e-05,0.0764314996911172,0.0548467815487858,1.17501512621061,0.0808830117168566,0.0717215541459607,0.274643614831915,0.00634425721313531
"3",0.5,0.195310972396558,0.308837459832171,0,0.0275415492620363,0.00444207890179053,3.39908593669915,0.016160383624521,0.136109264451325,0.443249921332658,0.193563756318741,0.306774048380311,0.155074452097151,0.299321040861403,0.0211285225491048,0.0381595836778889,2.21142665392552,0.0193011403944762,1.3065987988105e-06,5.64656938748056e-07,4.31512047964388e-09,0.00944663662482735,0.00066804359231834,0.000969428675286112,0.000364147084294896,1.32685451428523e-05,0.000365054080951777,0.0192890090347808,0.171573432020586,0.546178681706707,0.493430969201601,0.037391893433971,0.138667154537751,0.00880814664092145
"4",1,0.0292397316905608,0.289521043080758,0,0.00593827050553813,0.0889369359408662,3.34717945347447,0.116202458993919,0.879577063927169,0.293910138468931,0.091531591503213,0.234562011485307,0.00305581191951313,0.036206620535588,0.0592637420992005,0.0535516171619314,3.50921744156687,0.0128023138224702,1.53679296987302e-05,2.86006852549323e-08,8.42002757257668e-08,0.00393844628727035,0.00558491378843699,0.00117270307565709,6.21833130126586e-05,0.000677001169067278,0.00170441593814846,0.337161172860896,0.0739553339280846,1.32790518716452,0.284222518982531,0.0112128446008151,0.137531572755366,0.027577981191334
"5",1.5,0.118469853002665,0.225944915546619,0,0.0308052216061355,0.0189976098608035,2.92777702149709,0.294365093651987,0.561211013296053,0.537757932470614,0.179106302896871,0.471690301719857,0.101080542977172,0.303656599141589,0.0299090893433497,0.0416155318880739,1.96255122881195,0.0117816823593265,7.89320750840902e-07,6.64863841179249e-07,3.27429009019248e-07,0.00415318681960729,0.0019360923301717,2.12299710253405e-06,0.00185866983643446,0.00107235427091266,0.00170928354331842,0.439219699270141,0.0887339191827514,5.92842755874057,0.328045449100185,0.00940460014279265,0.120149738819496,0.00642982045061584
"6",3,0.0169078658737996,0.236659301052789,0,0.0176626911551655,0.111232057035491,22.3384071613235,0.282516453684487,0.0284945700451865,0.345255602958897,0.0204364933037177,0.00767914804817523,0.0865444328916711,0.00200428190630886,0.0457393027492225,0.0214628734207411,0.234872767470495,0.0428645673492831,2.83732710933701e-06,1.27532463531607e-08,1.97341929385568e-07,0.00219035648294333,0.00193160587904495,0.00204226688646477,6.34295764366683e-05,0.00130025653429841,0.00171789179749756,0.12234872913605,0.0419943053347524,0.276018650387551,0.885104287219097,0.00171158959669888,0.325631897503977,0.0292594856668923
"7",4.5,0.0659623533855801,0.221853523679612,0,0.00199464688445099,0.0212672530900784,4.12913816905299,1.30461744975244,1.05314152718072,0.553751058445807,0.0732884617290522,0.4784167611799,0.090594175965822,0.123589012021922,0.0550132029666612,0.0917803460122244,0.474220318885102,0.116390139937947,5.9621248130086e-06,2.47341985032562e-06,3.10214430072345e-07,0.00759170547360269,0.00201378220497674,0.000684125076885254,4.17385773080935e-05,0.00171460677951563,0.000970642071323011,0.215036115764811,0.0550390587560869,0.731563295418841,0.570851131925793,0.00214940163294968,0.0630928361431743,0.0630668366935113
"8",6,0.173349956898375,0.0372143741150111,0,0.0330372229568748,0.154138313356245,0.23026381282077,0.42755562706225,0.355702463628357,0.485396873003724,0.104904806952212,0.792327339578652,0.146704818432103,0.0134027102994575,0.030641184645092,0.368836331821077,1.54817553958277,0.014733553263675,1.30127180174088e-05,1.23387131288868e-06,5.45253233252517e-07,0.00453091058225865,0.000759664931299844,0.0034360389333065,6.17696378005922e-05,0.00112687857418188,0.000299890865392205,0.0973929691902953,0.147052057970353,0.10072069628808,0.585456291768389,0.000723537899702371,0.118422221549357,0.0478856476937407
"9",7.5,0.179338888436855,0.441882498923301,0,0.0253373386457935,0.0130207664903212,1.7717193321792,0.320245409323249,0.401179480971777,0.019537806960473,0.0232294406450081,0.0268794929009542,0.245658322256096,0.413570803788072,0.0984653067838154,0.121269362836191,1.15362143297944,0.0525859151080389,8.22973811678199e-06,6.73140375434833e-08,5.62697087575207e-07,0.00266978270419375,0.000772100394782023,0.000754416765343826,0.000106842662622319,0.000625766056773402,0.00116173364502851,0.0631387316729702,0.0570356713003595,0.425734320026612,1.13209732083683,0.000557966819034501,0.417017714655967,0.239053317768005
"10",9,0.13790556896457,0.0414123550360416,0,0.0472525577798016,0.103497177277499,0.269506507856367,0.869128179011459,0.118372002104171,0.502072421655863,0.223579853990558,0.34844136711583,0.148910311814007,0.161013359689233,0.00268188511854875,0.0604626214088832,5.80677642062377,0.00888923351065358,2.24815757867492e-06,2.84829533334219e-07,3.53213443695118e-08,0.00275624315640908,0.0139827343939091,0.0001454722198739,0.000642115753819818,0.000422063986682901,0.000322428497288058,0.160585168145867,0.11578367178448,0.981648773778015,0.932324854611699,0.010583823824982,0.078064071676451,0.181171396384862
"11",10.5,0.317855925859206,0.217738810591386,0,0.108712255409102,0.0137509865422939,3.15030278438078,0.766399764942084,0.0232799786370699,0.138831355170104,0.0543868229409759,0.0151533416352581,0.0996634509644822,0.0862955410878091,0.0292683040736112,0.00452352596330204,2.56963665824467,0.00792198048272122,1.05981905476535e-06,1.44526832408156e-07,3.55312777738305e-07,0.000158686366479468,0.000726729783995088,0.0001805459022881,0.000343528206130714,0.00498231953241839,0.000322668572912996,0.0763927853505349,0.011348954057667,0.602660594905791,0.386342182767975,0.0128512017137798,0.0144478327467092,0.0119011928571968
"12",12,0.0657421813331876,0.19414337468383,0,0.0127204711077382,0.00624812517305949,4.0794452406502,2.15397142102021,0.101850417152593,0.277631249167457,0.177980205982293,0.0227994230191465,0.014497968812123,0.0771182166595657,0.0542846853493596,0.0189778841963258,3.76578267377162,0.0297514941579739,6.50413937637585e-06,2.43854711619213e-07,1.96643570831443e-08,0.00664345412686524,0.00340831159212128,0.000856255998670312,0.000336207421203714,0.000352569836332677,8.57246076556037e-05,0.405726167499333,0.184377876195888,1.16169425490177,1.0917874928497,0.00858866704553754,0.0571552222854543,0.148475738277081
"13",18,0.0713950979689512,0.00665923817478051,0,0.0110098005597628,0.0131012928206424,10.5360739935694,1.52069008325662,0.0439572027634154,0.0325157867227615,0.1941624759274,0.0294665737144323,0.0813959963251722,0.418452757504624,0.0475610787867288,0.070081115302807,1.01776395676122,0.0160987627568348,2.06753827250109e-06,1.66312378497299e-06,3.74608765048424e-07,0.00131038082169813,0.00275691771683657,6.18804637807451e-05,9.40133715513803e-05,0.00140089951518131,0.000329734557247005,0.0171392858411772,0.0158093258584796,0.166114743262863,0.0870691619567742,0.0191960626209605,0.306433239896611,0.0606000949471578
"14",24,0.310612410736897,0.967045098075286,0,0.00303163238671079,0.020821408930705,6.35508100403187,0.0203874974110868,0.198486262653203,0.253804395958127,0.173109591152945,0.0962620460455738,0.0543076550834855,0.0219193486299823,0.0520441962391606,0.166582068047278,0.143524050304031,0.0879957852372371,2.36858356122051e-06,7.70568101223515e-08,2.42806937663983e-07,0.00265989066906733,0.000610427998873067,0.00078089864069598,0.000137944195213199,2.4439702326485e-05,0.000575882114314527,0.0102476411809855,0.0481684463515447,1.4113009882728,0.511627545263425,0.0190299125499125,0.156695145865611,0.0922694377186907
"15",36,0.0429292621500629,0.152283092340646,0,0.0424413089629631,0.00131789831722161,3.9117083602514,0.476334871638216,0.289766695962921,0.0656514485150777,0.549638704824537,0.632662113437385,0.0136628848531707,0.149846545565652,0.0180954950433041,0.299383067311097,1.3951089737717,0.00867647384778231,2.89024937150981e-05,1.24881208362818e-07,2.11114775868315e-06,5.79457849877448e-05,0.000888269638304124,0.00160774387167589,0.000360842984881966,0.00989030807545566,0.00195684384529741,0.0234759354224726,0.014158874007223,0.847314917624752,0.338749817907806,0.0164950883774477,0.543714927875814,0.0536202107536479
"16",48,0.085858555902035,0.104135353161701,0,0.0806661096234512,0.0227887081166697,8.38233559870109,1.66769970060488,0.0608732693498386,0.193538514522788,0.0674422593895129,0.164791591954059,0.182559822258198,0.107076899998896,0.0412593016352122,0.0773322137717165,0.279846690666068,0.0260855590718298,2.40354089705161e-06,7.34908505988333e-07,1.87399207800631e-06,0.00531429826150531,0.0010104767097192,0.00118441207386907,0.000167825843389088,6.57624002581707e-05,0.00124319730943115,0.207286286342466,0.0664538585928579,2.91864478297938,0.00727435963065314,0.104408189547493,0.13115620515495,0.017827186220184
"17",100,0.239005224519243,0.374574189049187,0,0.0155199997084139,0.0283867138296056,0.382946898635767,2.24223949899132,0.290687146677067,0.299747377207459,0.00464530135871974,0.116401239655157,0.518262459928553,0.0187538899067972,0.0811381538700641,0.00998892248405034,1.26792079423363,0.00586503650601163,4.55883049998242e-06,3.54778232862582e-07,3.98185032950751e-07,0.00234378027528861,0.00223836929190781,0.000181423992984545,0.000339799671965538,0.000829101176691078,0.000508907798822199,0.655680786112573,0.0612332545916866,1.51849166199957,0.0785370385364262,0.0336732122672379,0.0140046418406632,0.0620255702833776
