"","x"
"k1",7.75362780469209e-07
"k2",4.03611282898236
"k3",1.80854682494214e-05
"k4",5.83502855803887e-05
"k13",6.4859456253357e-05
"k14",0.00216356578993721
"k15",4.08970123948108
"k16",7.10511784672663e-07
"k17",1.85970739555807
"k18",0.058744126695858
"k19",3.55440106175664
"k20",0.00315160067696012
"k21",0.637081989251097
"k22",4.75956475515352
"k23",4.40285874222159
"k24",0.0010240121958545
"k26",1.18440388968269
"k28",1.63635358550316
"k29",1.29384109861603
"k32",0.578569800513915
"k33",0.179264711610384
"k36",0.000608838697596545
"k38",1.13025412335662
"k40",5.25876033712442
"k42",0.0598806810185555
