"","x"
"V1",0.877462451444825
"n",1.40111652172117
"Ki",0.992531342858484
"K1",3.37307125026814
"V2",0.0409623114199871
"K2",1.46730662615259
"k3",0.238943424092531
"K3",0.855519637318952
"k4",0.242466094620079
"K4",1.81745455535423
"V5",1.23288870115955
"K5",1.62425922134284
"V6",1.55616934319077
"K6",1.04348486296338
"k7",0.0900528208019183
"K7",0.955695186527721
"k8",0.119311323477626
"K8",0.972743643679907
"V9",0.917698568602962
"K9",1.58606352522398
"V10",0.740489760765057
"K10",1.28807303425646
