"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,100.476873002499,7.97441126554464,277.548396179468,8.25382357390303,11.0524048484665,274.996810171259,9.95488022809244,9.48116869749538
"2",0.25,89.4426047888185,8.17019250135893,282.193392784054,8.80046277036509,8.92446389213956,280.953643510249,8.94412431244298,9.96107643392898
"3",0.5,88.9673364834005,8.28609521536666,284.046333619698,10.842907489058,13.413720330581,280.851787902263,8.1524386974743,10.1346112991724
"4",1,86.8969347953647,18.8416668035652,277.043592139605,13.0438658701143,8.36871047071472,282.545282928947,9.60909641341134,10.0383099019754
"5",1.5,82.5627536506494,15.5349666003301,281.511291005984,10.8608854967754,7.19713243633479,282.188027334124,11.1895193454507,9.14150976321722
"6",3,88.3527011535418,8.0567847338387,283.491071027485,12.516531361065,12.9006539695276,280.494823734932,11.4388957306141,8.14635427315537
"7",4.5,87.1703221869411,15.2693992392438,282.441122004937,13.9927167706869,11.2670828887544,280.32210610261,8.51450241906648,10.0679630822765
"8",6,87.1939086557933,14.4231685772706,276.198234473278,13.0174179624494,6.81313777221319,280.579692876271,11.2752510511036,8.97313503043976
"9",7.5,85.2850273095024,20.2163066478715,280.363786401489,13.4354697371567,8.31807985318864,280.525137232406,11.6741884384071,7.91125044280885
"10",9,83.8132777201602,21.9091100933741,285.556839495016,11.5586614518366,9.16519237012827,277.577153933183,10.6591868837815,8.35668231532263
"11",10.5,85.8253335652643,27.434848100541,279.317190222245,11.4351320380882,14.3538520137283,280.731513499231,11.5530779912904,8.93227139164981
"12",12,76.7411723178123,19.5719711676645,276.870425102659,10.8179212651141,8.1400125824879,280.794645904961,10.8265393421833,9.10995857414162
"13",18,70.5465966248027,22.8299636502097,280.631951023469,11.3996180428385,8.99220896712452,281.184444272812,11.9301715143207,8.78119733063098
"14",24,68.7992462954393,30.9702625940161,277.528264115488,14.0154490580108,11.402545502687,279.750125995221,12.0308724831955,7.95527482733719
"15",36,55.6504882565247,42.9526583541085,269.453004083086,15.372704015099,8.89811227403492,279.515582892561,13.978217628025,6.72327978594203
"16",48,44.4491376473733,56.423901272055,260.373354563919,20.7448529319272,21.0597874084793,279.731365146689,13.5674464959358,7.60912608923997
"17",100,11.8311666089816,83.8210519197314,199.48321646368,43.5794937105827,58.1575839400288,249.650979887028,27.0520954490975,20.6395342456002
