Value
50000
0.4
0.09
0.1
3.93E-08
1.41E-07
1.71E-07
1.19E-06
0.042589917
0.017412904
259000
89.99982826
863.9967395
1.458490472
3.459967845
43.19980304
432.0161149
151.5643381
0.194
3
0.1
0.51
0.1
100000
4.87E-06
4.87E-06
0.1199
370
12
0.010000004
0.001
0.001
0.01
0.000294265
212000
0.500000003
1.000000005
36
0.109999972
21
0.017014592
