Value
50000
0.4
0.09
0.100000001
3.93E-08
2.54E-07
1.71E-07
1.19E-06
0.069117546
0.032973897
259000
90.00388888
863.99943
1.432746572
3.518733462
43.20444814
432.0150424
152.9617234
0.194
3
0.1
0.51
0.1
100000
4.87E-06
4.87E-06
0.1199
370
12.00000001
0.009999985
0.001
0.001
0.01
0.00029478
212000
0.500000011
1.000000021
36
0.109999965
21
0.016967288
