"","x"
"k1",2.32368345031511e-07
"k2",0.024188927850221
"k3",0.00396148810065503
"k4",0.003681017982346
"k13",0.0567891647303559
"k14",2.35425475856892
"k15",2.14872228940041
"k16",0.00431578415964491
"k17",2.1753030934105
"k18",2.31834930339583
"k19",2.08958910170739
"k20",2.26542482847394
"k21",2.12117555190217
"k22",2.18398710945672
"k23",1.9382512858174
"k24",1.13355942194336
"k26",1.09102762711327
"k28",4.5335187105578e-06
"k29",0.109281159399823
"k32",2.20303198106176
"k33",2.12256280186945
"k36",0.0125348946136434
"k38",0.138278100744505
"k40",2.10972966526391
"k42",2.21619718212546
