"","V1"
"k1",0.115893961500495
"k2",30.9130530960882
"k3",3.418838032403
"k4",3.73250991521684
"k13",0.277046737230039
"k14",11.7216982872227
"k15",3.39064991121657
"k16",0.252607990108365
"k17",0.757166731710809
"k18",2.37971673323485
"k19",17.4338115995239
"k20",20.3803289163958
"k21",3.61075777840617
"k22",180.760557765912
"k23",93.7217495740431
"k24",0.236463098176992
"k26",0.638853498055755
"k28",11.5235104563384
"k29",11.2884565433786
"k32",9.51839591174583
"k33",8.45487897822873
"k36",6.28073181044829
"k38",14.0161664424169
"k40",56.8183342449901
"k42",0.0161027954192101
