"","x"
"k1a",12.9324898382743
"k1aBasic",0.00389554007639328
"k1b",0.998115532958427
"k1c",0.759540195747729
"k1d",31.9063275804188
"k1e",39.3593454665552
"k1f",39.0591422735344
"k1g",40.9705528528636
"k1r",0.432839160784955
"k21",23.4430956613324
"k22",19.9843008213125
"k3",0.0045223426190909
"km2",0.387791063792803
"km3",40.2636191355032
"k_IRP_1Step",37.9872960725248
"k_IRSiP_1Step",0.000539224042286594
"k_IRSiP_2Step",108.496092326727
"k_IRSiP_DosR",370.431806701886
"sigmaY1TimR",25.5148336074882
"sigmaY2Step",60.9573507635327
"sigmaY2TimR",18.5233105739557
"sigmaYDosR",35.5219932869952
