"","V1"
"k1",0.115680561027509
"k2",30.8886614993405
"k3",3.44488320762512
"k4",3.7410017497136
"k13",0.27370909808497
"k14",11.530866538437
"k15",3.41531885538757
"k16",0.243927731032992
"k17",0.0833417103607779
"k18",1.98140286592513
"k19",17.1522354189903
"k20",20.4308276473806
"k21",3.86464895973439
"k22",196.393735106707
"k23",93.795179092887
"k24",0.221492116800097
"k26",0.6760435037048
"k28",12.2187700634402
"k29",11.9627431272179
"k32",11.3413906932778
"k33",10.0694991959834
"k36",7.49777278841805
"k38",14.8959453955471
"k40",136.359558566812
"k42",0.00990073100534306
