"","x"
"k1",1.2923198097419e-07
"k2",0.850532583463688
"k3",0.0145792658828717
"k4",0.143658236719832
"k13",0.0116407644164772
"k14",1.94214083954901
"k15",1.44566330639127
"k16",0.244570640122846
"k17",2.09513992205585
"k18",1.91819452899698
"k19",1.90252736591506
"k20",1.96256149433123
"k21",1.88300321445587
"k22",1.7900663737452
"k23",1.99304715034723
"k24",1.86429743276054
"k26",1.86957776874254
"k28",1.6272497519731
"k29",0.306426268115299
"k32",1.93486729817325
"k33",1.37303184334192
"k36",0.571704461541631
"k38",0.296896922735067
"k40",1.97760791763792
"k42",1.67161797858596
