"","time","JAK2","pJAK2","Epo","EpoR","pEpoR","SHP1","mSHP1","Delay01_mSHP1","Delay02_mSHP1","Delay03_mSHP1","Delay04_mSHP1","Delay05_mSHP1","Delay06_mSHP1","Delay07_mSHP1","Delay08_mSHP1","actSHP1","SOS","mSOS","Raf","pRaf","MEK2","pMEK2","MEK1","pMEK1","ppMEK2","ppMEK1","ERK1","pERK1","ERK2","pERK2","ppERK1","ppERK2","pSOS"
"1",0,2.00309342927299,-0.00104595406033714,50,0.99890939523898,0.000861239554183438,10.8082443770485,-0.00352233662300844,-0.000759719511304523,-0.00251507310321736,0.00336939827476794,0.00242532376698576,-0.00259998448451393,0.000118122134406655,0.000104200793252938,2.11127988866275e-05,-0.0131000952550434,2.51010650814765,3.77621661649244e-06,3.7718984068932,-1.61645328774083e-06,11.0002672858487,-1.580976788381e-05,23.9998317664017,-2.75106222787498e-05,-5.90532526667919e-05,-0.000126327224937598,6.99548474218846,-0.00276332631793082,21.0070026796889,-0.001145185922997,0.000454686024149809,0.00225638219486926,4.57208723655419e-05
"2",0.25,1.71632844259063,0.28267713740712,50,0.893468077494742,0.108344782358922,10.7572902571976,0.0353782565150631,-0.0020332570929896,-0.000729780229791432,0.000813908498710895,0.00267943151844154,-0.000248781977874254,0.00128271367970502,0.000337704944415078,0.00149709385731588,0.00172681172602086,2.51005584819227,0.00112083077225011,3.77185836566781,4.29070594348171e-05,11.0001732121409,0.000130829945073498,24.0002148789842,-1.50326075726342e-05,-2.31013536212347e-05,-6.65815607849966e-05,6.99738939148438,2.74712568893256e-05,21.0017679180329,0.000113374029781497,-0.000990947815501891,-0.00157116081042087,-0.00128558810839453
"3",0.5,1.47094276747052,0.527082485598004,50,0.646784023425583,0.355238800633247,10.49264279785,0.266531388094911,0.0178784543431325,0.00224385766586082,-0.000704971876158574,-1.80584783825638e-05,0.00093746112262335,-0.000691465208666561,0.00194773372112869,-0.00090191057931259,-0.0139946274349186,2.50494894871392,0.00475992947024641,3.77149447773417,0.000404788431070059,10.9980897823683,0.00142034240166415,23.9992937733275,0.000855254100256463,0.000302632906797714,-6.29044205186505e-05,6.99780537989924,0.0003188045084374,20.9976154237409,0.00433354580358656,0.000646302398490865,0.000175209546757538,-0.00209316196359868
"4",1,1.08709149555749,0.914279473578964,50,0.205632687953328,0.79620340850029,9.32956585384973,1.32452459823093,0.151295981947255,0.0156711502470578,0.00149374083808773,0.00243444667837917,-0.000737104766621201,-0.00237599095410229,0.000198289607154537,0.00161212284590074,-0.00470624496840183,2.49686573306195,0.0121827463131102,3.76935156522105,0.00256394296453037,10.9753229199563,0.02245714280813,23.9880974058254,0.00925972189982585,0.0016735686338765,0.00226329911234117,6.9903438212766,0.00645491917904527,20.9823615377757,0.0202800121119454,0.000728554339217476,-0.0024012727118753,-0.000784405435450205
"5",1.5,0.796891858001769,1.19998746931456,50,0.0370886552470296,0.959786149235882,7.73610111210315,2.48761881700346,0.482572497080458,0.0673265524420692,0.00552472854136755,0.000149656488941055,0.000720889082690919,0.00158628621699868,-0.00104447838460945,0.000624240181685278,-0.00783675227569235,2.449967666194,0.0022115290025085,3.76771648998199,0.00418117821787493,10.9140367157066,0.0661692251504029,23.9586454633416,0.0203929802703113,0.0196336485615001,0.0211091473251988,6.8944801497819,0.100309169675003,20.6947687110506,0.290416097408705,0.00443726879012076,0.0152911506922201,0.0552514641335859
"6",3,0.323131155569723,1.67895016880885,50,-0.000283054990056952,0.999131868158315,4.20683611175633,3.91559418348506,1.87118819368281,0.609644297415222,0.149381796994961,0.029330159940889,0.00413319195481342,5.85355902123377e-05,0.00222445280651032,0.00182568007788909,-0.00260721891996111,2.14912027628879,5.58835628436273e-05,3.76933313531521,0.00257382449512825,10.7543341324861,0.128462270649866,23.8781377536862,0.0282042521767338,0.116976620521067,0.0936965028423694,5.92483324819235,0.81781487909133,17.8738379610643,2.44201533518591,0.256038791826076,0.682022824251559,0.361607205161673
"7",4.5,0.126960928261036,1.8696766093658,50,9.10850082736664e-05,1.00018749682538,2.29697754096398,3.5178661744495,2.74452861421041,1.43955353501691,0.566927924988334,0.181963346684622,0.0490828123906413,0.0107151534079131,0.00054265031940102,0.00110689864798749,0.00230673712373714,1.92671201255295,1.67342507525994e-05,3.77041860307288,0.00148263300407562,10.6706979850817,0.151988377663879,23.8326286462875,0.0346589973740785,0.176969939546726,0.13250112526794,5.20094370531907,1.22755099280908,15.7981682409294,3.66579291925888,0.572849392068361,1.52857116351872,0.58227134057648
"8",6,0.0534456977468059,1.94712985912204,50,-0.00041006937802496,0.996867232723329,1.24741501263391,2.66653482481133,2.8802430041346,2.09572232898145,1.14510102516418,0.502146402440342,0.185164430644891,0.0565393805816777,0.0164313135310313,0.00310023038682995,0.00969776647447174,1.76686117647396,1.39875799503788e-05,3.77104659140912,0.000855729442638642,10.632675810224,0.169656595149864,23.8090332449173,0.0427496713841361,0.198108716093799,0.148232009995472,4.90057277555712,1.37325081864486,14.9383779179267,4.11285893621716,0.723826333223565,1.93663551340736,0.741937703339485
"9",7.5,0.0206325924360127,1.97435847590305,50,-0.000178315008614842,0.998015644125257,0.669647751141217,1.85402466281178,2.5780284170514,2.39179619467989,1.66780038672388,0.934257821833137,0.434748564549794,0.176354861126547,0.0605867275884209,0.0199847252207064,0.0164085591229973,1.6544897615499,4.75413929476353e-06,3.77140815593906,0.000498200888093176,10.6194372854469,0.18471791003013,23.7986272867184,0.0521943472264616,0.196507053821587,0.149633222037403,4.85717508867551,1.40371575768644,14.8157462234892,4.20126361274248,0.739190172710192,1.97771327296244,0.855695741761262
"10",9,0.0230607359443589,1.97604215623579,50,0.00414543576473921,0.995304917681799,0.356285766355185,1.22810940154358,2.08013664287629,2.35147440184287,2.00284347017094,1.3643093643691,0.776102249958663,0.379921672639126,0.163267319165543,0.0638744537599411,0.0309154841409079,1.5746243321968,-1.91764268636856e-05,3.77161437479035,0.000293069624291076,10.6204751916509,0.19622440738616,23.7954052655289,0.0623442586539853,0.182976504544692,0.142669617189254,4.95304909368331,1.3693864448149,15.100705654204,4.09401660471503,0.679740040697345,1.80803542026594,0.934857230963478
