"","time","JAK2","pJAK2","Epo","EpoR","pEpoR","SHP1","mSHP1","Delay01_mSHP1","Delay02_mSHP1","Delay03_mSHP1","Delay04_mSHP1","Delay05_mSHP1","Delay06_mSHP1","Delay07_mSHP1","Delay08_mSHP1","actSHP1","SOS","mSOS","Raf","pRaf","MEK2","pMEK2","MEK1","pMEK1","ppMEK2","ppMEK1","ERK1","pERK1","ERK2","pERK2","ppERK1","ppERK2","pSOS"
"1",0,-9.24634842905969,9.22056147339068,0,-2.35689629521252,2.38764538425414,7.31049624693014,-16.5270850713857,-3.75750461620195,2.60046153667899,3.74868042265452,2.96139864738692,1.89724170327061,0.999003277189658,0.505989849732576,0.216664560964411,0.200495092969558,-0.695589014439335,0.0765337441455777,0.0198594448694855,-0.0198879518685203,0.338364740494868,-0.246283466472059,0.128219658144246,-0.0290103800023847,-0.0759356875371903,-0.0901429758213745,-0.286281768871355,-0.157771623813102,-0.875144579765674,-0.643767964853989,0.514301826449203,1.31514176310482,0.609802982098715
"26",0.25,-14.8041291324481,14.8290395038779,0,-16.3499285668545,16.3253430425516,-26.7479151277445,53.0199223343787,5.10208478916085,-8.04339187818165,-9.06290677601633,-6.59023131922792,-3.96339470384002,-2.12013250439821,-1.0194025653008,-0.438663104614465,-0.244889524255539,2.26270860957589,0.126037813489769,-0.0827989037568422,0.082904927617341,-0.458606613648271,0.585434057975675,-0.124857235238807,0.140212771748682,-0.14248043005985,-0.0163879425781003,4.04314836604769,-1.82634463907197,11.4779398096445,-5.54182590828425,-2.20916120027679,-5.86296970095545,-2.40525056000721
"51",0.5,-7.98847639541678,7.99371084207356,0,-6.06203866109079,6.05319651871045,-32.5887078878573,24.1519938042509,9.94435744609758,2.42007168162003,-0.560950691380346,-1.21632859887927,-0.997116468686741,-0.62372893704675,-0.333849861952498,-0.152644976711848,-0.0707857624582565,-1.2317115072884,0.00910524923610542,-0.0237857046223588,0.023823058238613,-1.16400752088452,0.632238762049098,-0.561763756447675,0.137224017658815,0.527577795338231,0.424137720184702,-4.59957127877786,3.43012757129182,-13.3576090013001,10.2410075263434,1.16960515224,3.13369472597941,1.21917734124332
"101",1,-4.6515224948378,4.65161611907972,0,-2.55140655662875,2.54790170903574,-26.054463754198,10.7369774333796,7.79857100552017,4.27729500631148,2.0003597215377,0.816080438034911,0.292816218567721,0.0896029150022626,0.019266801258376,0.00305367807496015,0.0179760064817191,-1.771347072963,-0.0129442013871925,-0.00559465956229133,0.00560706338511956,-1.0074128026627,0.492454993517633,-0.51283750546105,0.116654657064655,0.514046538391488,0.396003680589445,-5.14951176564793,3.57359700476687,-14.8894122652621,10.6824967039568,1.57585506903678,4.2084095504582,1.78401829118195
"151",1.5,-3.48972916639967,3.48796641468829,0,-0.923707886807623,0.923187181197216,-21.9818424643865,3.56709677410194,7.95210916093436,6.72388073116281,4.24311186284572,2.05141295701802,0.5768610486174,-0.237367021516062,-0.580713424905593,-0.646415135391267,-1.65728276218086,-2.09424790278012,-0.0221097098317457,0.00521650196061429,-0.00522129507601757,-0.994410889541442,0.406021253319649,-0.515285816369726,0.0804987387421161,0.589406306928691,0.434744153614303,-6.36541518003941,4.14197898967006,-18.3562936955219,12.4083539188935,2.22566184473243,5.93984519817958,2.11713721143282
"301",3,-1.35459033505808,1.35352219561713,0,-0.110386765794952,0.110724977815613,-12.010995996218,-1.0277675060868,2.96350099661291,3.57041563455285,2.89530158366891,1.92386879888856,1.09477649302141,0.529514996465252,0.203221244027468,0.0380768002746223,-0.167446544201588,-1.34643755761088,-0.0109239160181892,0.00507936603577619,-0.00508488304591138,-0.4918350280807,0.219755955189721,-0.269151104671295,0.0658921554318737,0.272800563391906,0.203235996252923,-3.1433273799415,2.05029363658882,-9.05384609124127,6.1314235574832,1.0951128521407,2.91725963053047,1.35792107448068
"451",4.5,-0.388384074546319,0.387522980563215,0,0.0177226394229707,-0.0173449438223283,-6.39997178648288,-4.16651950761482,-0.54834592821118,1.8101436553466,2.61787625496379,2.45115035816906,1.88899477697482,1.29197289376952,0.805489027321957,0.451108439655595,-0.18694948264536,-1.00692107702827,-0.000368727501872757,0.00370322889642338,-0.00370803361169898,-0.196714751597327,0.130398798235593,-0.128329548772399,0.0728922026005385,0.0666430748774705,0.0553385198014122,-1.10568603097327,0.726296136653426,-3.16023871265969,2.15015949284147,0.382209655138688,1.00851360184051,1.00726523590855
"601",6,0.0731636919295633,-0.0739023412630324,0,0.151619326302234,-0.151349379895471,-3.98053033127699,-3.90709839687586,-1.27920260687864,0.824261093957723,1.75334920507009,1.8523492189475,1.5638420659056,1.18326590935594,0.83929178647215,0.564511175722863,0.596561472554158,-0.67952272037819,0.000831142446733113,0.00262391893590674,-0.00262784459475443,-0.0766566139471792,0.0797178874981375,-0.0639494948124764,0.0596276212464497,-0.00291183393533179,0.0042739611962328,-0.296687816093488,0.207055833811864,-0.833746943133207,0.597412093409577,0.0916690588660396,0.235489971121217,0.678633599470291
"751",7.5,0.672528321904285,-0.672931813692212,0,0.357454596186871,-0.357371007085217,-2.34299327564735,-3.18569586912654,-2.18267638991421,-0.701123176378715,0.430978938623428,1.07886464335216,1.35654871211255,1.4012606716336,1.30198733447781,1.1166831008223,1.73150537188785,-0.411808653649759,8.80477678329392e-05,0.00140335371456857,-0.00140537152614189,0.0337297874111187,0.0488844016020284,-0.00617594680463185,0.0587147334243227,-0.0827811720569838,-0.052477807320872,0.677756001719487,-0.358437057914829,1.9594987810958,-1.09855621041266,-0.319195076228795,-0.859228186109728,0.411873680686403
"901",9,0.735759342019845,-0.736014270193541,0,0.379287066073652,-0.37916019188855,-1.39772336377103,-2.49308271908277,-1.97408246206887,-0.902388885784866,0.0296753858177734,0.635512243483793,0.952964482534235,1.06707159520503,1.04400024553775,0.933839778423845,2.10710325999071,-0.221095541441452,0.000116103132868928,0.000951020913131373,-0.000952272844676947,0.0659527131858795,0.0228387841028355,0.015149101770362,0.0431138135417869,-0.0889673050137318,-0.0581935266026901,0.80516563051436,-0.450696871961531,2.32214552258725,-1.36942124673345,-0.354629378049975,-0.9515016910977,0.221189178946979
