"time"	"MKKK"	"MKKK_P"	"MKK"	"MKK_P"	"MKK_PP"	"MAPK"	"MAPK_P"	"MAPK_PP"
0	-3.15965790041162	16.1658563269302	18.4410060730329	2.0001274903354	-9.38753487379529	14.1890622930987	5.22362662062292	-0.496451803128295
0.25	16.4817356811824	-15.4854626948921	-7.79044791840988	-4.25993206340713	12.4067951005102	-0.345029804918795	1.7589505153186	-1.50609217625153
0.5	-5.30480503046249	6.5363992616323	-1.93222572005425	0.917294054476159	-0.231112898410046	-0.580491873051869	0.900258214540983	-1.67035191364029
1	-10.7917958418255	11.6016739369407	-0.484561984080756	1.95510340443228	-2.57757249625179	-0.585236210838502	0.984505030599436	-1.49417695636878
1.5	-6.85340691333636	7.78010163121756	1.30580793705803	1.04320733353447	-3.05735890642822	-0.473795346010775	0.773202265351713	-0.61360956277845
3	-9.57690760102992	9.89474820170244	0.093799325782129	1.65420396162297	-1.91267186779775	-0.280769533787861	1.09135676773775	-0.824528511323308
4.5	-9.72264979897375	9.58374267862183	0.519727786809199	1.23503926032242	-1.5105600956602	-0.411254963694319	1.39688402921401	-0.947681765866903
6	-10.0834365853757	9.76458128038971	-0.308008266529214	1.51627409172228	-0.996346095293532	-0.30811515506457	1.27022638591257	-0.973207682585908
7.5	-9.63793511627387	9.10961444676772	0.172158252212284	1.31904905062008	-1.56720468693727	0.0617463318235423	0.946521842910997	-1.11575102795847
9	-10.2185622223203	9.7250509984903	-1.10266411957127	1.85176416891153	-0.798034939650805	0.0604221390290149	0.896236809809992	-1.05641049500527
10.5	-10.8536273891673	10.4291842959476	-2.30951507978716	2.42247352679748	-0.117681238373635	0.125109044176952	0.831738799634607	-1.02614800400325
12	-10.2904794253931	9.93229105091586	-2.84766705999573	2.55802304086927	0.30105114275969	0.157509591304006	0.702666647034889	-0.923434708511195
18	-10.6305872751449	10.4779701309212	-4.64087502507482	3.18389974410493	1.67193483501471	0.0454884246892107	0.671972798970799	-0.765413611539145
24	-9.50477091537039	9.37798042892979	-8.1365322766942	3.91092572035667	4.32502431721815	-1.94441206878082	1.41598071776805	0.559315350087353
36	-8.19953571375009	8.06648756142891	-10.9934368135214	4.41597167180774	6.53666909462025	-3.78672798103707	2.10835710223911	1.78183502727158
48	-6.07442607957864	5.9789867786435	-9.78769390519574	3.71015565736599	6.00919259126087	-3.62672947659348	1.89993062714677	1.83386440240696
